Lat,Lon,Severity,EventType,Type,PeopleInNeed,Status,UserPicture,Notes
34.6238146,-86.7278767,Medium,Road Block,Flooded,,Active,,
34.6781114,-86.7163754,Medium,Road Block,Trees,,Active,,"Trees down, blocking all lanes, take alternate route."
34.7065518,-86.7279625,Medium,Road Block,Road Blocked,,Active,,
34.7472547,-86.7660284,,Aid Location,Hospital,,Active,,
34.7433228,-86.7499352,Medium,Need Aid,Damage,1,Active,,
34.7155653,-86.7064619,Low,Road Block,Trees,,Active,,
34.7263414,-86.6598558,Low,Road Block,Debris,,Active,,
34.7198865,-86.5842819,Medium,Road Block,Damage,,Active,,
34.7054934,-86.5793037,High,Need Aid,Power Lines Down,5-Feb,Active,,
34.6894041,-86.6707993,Low,Road Block,Flooding,,Active,,
34.6463426,-86.7212677,Medium,Road Block,Flooding,,Active,,
34.7131136,-86.6246223,Low,Road Block,Debris,,Active,,
34.6920858,-86.7355156,Low,Road Block,Other,,Active,,
34.6910978,-86.7161179,Medium,Road Block,Wreck,,Active,,
34.6796642,-86.6278839,Medium,Road Block,Trees,,Active,,
34.6432356,-86.7363739,High,Need Aid,Gas Leak,10-Jun,Active,,
34.6553803,-86.7566299,Medium,Road Block,Debris,,Active,,
34.6618755,-86.786499,Medium,Road Block,Wreck,,Active,,
34.6463426,-86.7384338,High,Need Aid,People hurt,,Active,,
34.651144,-86.7325974,High,Need Aid,People hurt,,Active,,
34.6598988,-86.7229843,Low,Road Block,Damage,,Active,,
34.6288292,-86.7188644,Low,Road Block,Trees,,Active,,
34.6257393,-86.722126,,Aid Location,Red Cross,,Active,,
34.6147029,-86.7355156,Medium,Road Block,Flooding,,Active,,
34.6480372,-86.7283058,Medium,Road Block,Flooding,,Active,,
34.6618755,-86.7310524,High,Need Aid,"Damage, people hurt",10+,Active,,
34.7126903,-86.7094231,High,Need Aid,Gas Leak,5-Feb,Active,,
34.7126903,-86.7207527,Low,Road Block,Debris,,Active,,
34.7011185,-86.7241859,Low,Road Block,Debris,,Active,,
34.6977314,-86.7070198,Medium,Road Block,Trees,,Active,,
34.7126903,-86.7111397,High,Need Aid,People hurt,10-Jun,Active,,
